FICE	College_name	State	Type	Average_salary_full_professors	Average_salary_associate_professors	Average_salary_assistant_professors	Average_salary_all_ranks	Average_compensation_full_professor	Average_compensation_associate_professors	Average_compensation_assistant_professors	Average_compensation_all_ranks	Number_of_full_professors	Number_of_associate_professors	Number_of_assistant_professors	Number_of_instructors	Number_of_faculty_all_ranks	Dbpedia_URL	label_salary	label_comp	id
1249.0	Occidental College	CA	IIB	624	469	388.0	490.0	806	593	482.0	621.0	49.0	42.0	33.0	15.0	139.0	http://dbpedia.org/resource/Occidental_College	medium	high	67.0
1262.0	Point Loma Nazarene College	CA	IIB	507	393	358.0	429.0	637	523	468.0	549.0	43.0	21.0	23.0	7.0	94.0	http://dbpedia.org/resource/Point_Loma_Nazarene_University	medium	medium	69.0
1264.0	Pepperdine University	CA	IIA	715	561	511.0	637.0	930	737	645.0	829.0	130.0	72.0	22.0	7.0	231.0	http://dbpedia.org/resource/Pepperdine_University	high	high	70.0
1302.0	Saint Mary's College of California	CA	IIA	614	494	404.0	500.0	754	616	497.0	618.0	38.0	55.0	42.0	0.0	135.0	http://dbpedia.org/resource/Saint_Mary's_College_of_California	high	high	71.0
1305.0	Stanford University	CA	I	952	658	519.0	824.0	1144	814	653.0	1000.0	533.0	139.0	145.0	0.0	834.0	http://dbpedia.org/resource/Stanford_University	high	high	72.0
1312.0	University of California-Berkeley	CA	I	764	513	433.0	650.0	939	631	533.0	799.0	834.0	229.0	209.0	0.0	1346.0	http://dbpedia.org/resource/University_of_California,_Berkeley	high	high	73.0
1313.0	University of California-Davis	CA	I	683	478	404.0	561.0	840	588	496.0	689.0	535.0	190.0	234.0	0.0	1072.0	http://dbpedia.org/resource/University_of_California,_Davis	high	high	74.0
1314.0	University of California-Irvine	CA	I	708	488	423.0	574.0	870	599	520.0	705.0	319.0	161.0	138.0	0.0	673.0	http://dbpedia.org/resource/University_of_California,_Irvine	high	high	75.0
1319.0	University of California-San Francisco	CA	I	624	449	380.0	520.0	767	552	467.0	639.0	154.0	83.0	74.0	0.0	314.0	http://dbpedia.org/resource/University_of_California,_San_Francisco	high	high	79.0
1320.0	University of California-Santa Barbara	CA	I	712	473	401.0	578.0	875	581	493.0	711.0	371.0	125.0	145.0	0.0	694.0	http://dbpedia.org/resource/University_of_California,_Santa_Barbara	high	high	80.0
1321.0	University of California-Santa Cruz	CA	I	677	464	391.0	537.0	832	570	481.0	660.0	186.0	93.0	92.0	0.0	413.0	http://dbpedia.org/resource/University_of_California,_Santa_Cruz	high	high	81.0
1322.0	University of Redlands	CA	IIA	566	468	406.0	488.0	716	592	495.0	610.0	49.0	19.0	39.0	0.0	109.0	http://dbpedia.org/resource/University_of_Redlands	medium	high	82.0
1325.0	University of San Francisco	CA	IIA	617	486	405.0	514.0	811	644	538.0	680.0	129.0	59.0	80.0	19.0	287.0	http://dbpedia.org/resource/University_of_San_Francisco	high	high	83.0
1326.0	Santa Clara University	CA	IIA	763	555	487.0	578.0	938	704	624.0	729.0	85.0	117.0	90.0	0.0	324.0	http://dbpedia.org/resource/Santa_Clara_University	high	high	84.0
1328.0	University of Southern California	CA	I	802	574	484.0	641.0	1016	751	636.0	825.0	485.0	354.0	286.0	27.0	1165.0	http://dbpedia.org/resource/University_of_Southern_California	high	high	85.0
1329.0	University of the Pacific	CA	IIA	542	420	372.0	459.0	666	528	468.0	570.0	172.0	92.0	100.0	10.0	377.0	http://dbpedia.org/resource/University_of_the_Pacific_(Peru)	medium	medium	86.0
7993.0	California State University-Bakersfield	CA	IIA	597	482	377.0	499.0	752	619	495.0	637.0	95.0	48.0	50.0	13.0	206.0	http://dbpedia.org/resource/California_State_University,_Bakersfield	medium	high	90.0
10395.0	University of San Diego	CA	IIA	719	533	452.0	575.0	904	678	569.0	725.0	105.0	72.0	76.0	12.0	265.0	http://dbpedia.org/resource/University_of_San_Diego	high	high	91.0
11649.0	Loyola Marymount University	CA	IIA	722	558	414.0	589.0	911	724	543.0	754.0	130.0	90.0	83.0	3.0	310.0	http://dbpedia.org/resource/Loyola_Marymount_University	high	high	92.0
1345.0	Adams State College	CO	IIA	436	356	321.0	360.0	527	444	400.0	444.0	29.0	21.0	40.0	8.0	98.0	http://dbpedia.org/resource/Adams_State_College	medium	low	93.0
1347.0	Colorado College	CO	IIB	613	488	398.0	525.0	776	621	509.0	665.0	63.0	38.0	26.0	1.0	134.0	http://dbpedia.org/resource/Colorado_College	high	high	94.0
1350.0	Colorado State University	CO	I	598	447	403.0	517.0	714	534	481.0	617.0	483.0	255.0	188.0	0.0	926.0	http://dbpedia.org/resource/Colorado_State_University	high	high	96.0
1353.0	Fort Lewis College	CO	IIB	439	385	342.0	392.0	516	452	402.0	460.0	73.0	35.0	52.0	5.0	165.0	http://dbpedia.org/resource/Fort_Lewis_College	medium	medium	97.0
1358.0	Mesa State College	CO	IIB	429	353	297.0	340.0	508	427	363.0	410.0	49.0	31.0	37.0	7.0	145.0	http://dbpedia.org/resource/Colorado_Mesa_University	low	low	98.0
1363.0	Regis University	CO	IIB	489	434	349.0	424.0	626	531	428.0	527.0	16.0	26.0	12.0	2.0	56.0	http://dbpedia.org/resource/Regis_University	medium	medium	99.0
1370.0	University of Colorado- Boulder	CO	I	652	494	421.0	528.0	797	615	519.0	649.0	457.0	301.0	227.0	93.0	1081.0	http://dbpedia.org/resource/University_of_Colorado_at_Boulder	high	high	100.0
1371.0	University of Denver	CO	I	623	479	430.0	509.0	756	588	525.0	620.0	142.0	106.0	101.0	6.0	378.0	http://dbpedia.org/resource/University_of_Denver	high	high	101.0
1372.0	Western State College of Colo.	CO	IIB	452	381	324.0	402.0	546	460	406.0	490.0	52.0	25.0	26.0	0.0	103.0	http://dbpedia.org/resource/Western_State_College_of_Colorado	medium	medium	102.0
6740.0	University of Colorado at Denver	CO	IIA	596	453	408.0	467.0	726	561	508.0	576.0	106.0	108.0	119.0	35.0	368.0	http://dbpedia.org/resource/University_of_Colorado_Denver	medium	medium	103.0
1374.0	Albertus Magnus College	CT	IIB	391	343	?	340.0	444	400	?	393.0	9.0	7.0	5.0	3.0	24.0	http://dbpedia.org/resource/Albertus_Magnus_College	low	low	104.0
1379.0	Connecticut College	CT	IIB	619	461	366.0	499.0	810	613	477.0	654.0	63.0	35.0	30.0	11.0	140.0	http://dbpedia.org/resource/Connecticut_College	medium	high	105.0
1385.0	Fairfield University	CT	IIA	685	545	452.0	545.0	894	733	603.0	721.0	62.0	43.0	81.0	6.0	192.0	http://dbpedia.org/resource/Fairfield_University	high	high	106.0
1397.0	University of New Haven	CT	IIA	524	450	401.0	471.0	656	576	513.0	596.0	72.0	44.0	30.0	1.0	152.0	http://dbpedia.org/resource/University_of_New_Haven	medium	high	107.0
1402.0	Quinnipiac College	CT	IIA	697	540	412.0	553.0	877	686	531.0	701.0	82.0	51.0	64.0	10.0	207.0	http://dbpedia.org/resource/Quinnipiac_University	high	high	108.0
1403.0	Sacred Heart University	CT	IIB	546	444	374.0	435.0	686	566	478.0	553.0	19.0	55.0	30.0	7.0	111.0	http://dbpedia.org/resource/Sacred_Heart_University	medium	medium	109.0
1409.0	Saint Joseph College	CT	IIA	548	451	360.0	430.0	654	544	432.0	517.0	8.0	34.0	22.0	1.0	65.0	http://dbpedia.org/resource/Saint_Joseph_College_(Connecticut)	medium	medium	110.0
1414.0	Trinity College	CT	IIB	706	501	394.0	550.0	901	650	494.0	704.0	57.0	49.0	32.0	0.0	146.0	http://dbpedia.org/resource/Trinity_College_(Connecticut)	high	high	111.0
1422.0	University of Hartford	CT	IIA	529	445	380.0	439.0	660	566	492.0	558.0	76.0	131.0	111.0	3.0	329.0	http://dbpedia.org/resource/University_of_Hartford	medium	medium	113.0
1424.0	Wesleyan University	CT	IIA	734	504	423.0	597.0	936	641	539.0	761.0	128.0	57.0	66.0	0.0	254.0	http://dbpedia.org/resource/Wesleyan_University	high	high	114.0
1426.0	Yale University	CT	I	928	522	444.0	708.0	1127	643	548.0	863.0	404.0	118.0	191.0	6.0	767.0	http://dbpedia.org/resource/Yale_University	high	high	115.0
1434.0	American University	DC	I	746	520	417.0	555.0	897	641	505.0	673.0	165.0	119.0	125.0	37.0	446.0	http://dbpedia.org/resource/American_University	high	high	116.0
1437.0	Catholic University of America	DC	I	611	449	385.0	482.0	718	533	459.0	570.0	123.0	141.0	104.0	6.0	374.0	http://dbpedia.org/resource/The_Catholic_University_of_America	medium	medium	117.0
1444.0	George Washington University	DC	I	729	542	447.0	610.0	874	653	536.0	733.0	316.0	175.0	134.0	12.0	637.0	http://dbpedia.org/resource/George_Washington_University	high	high	119.0
1445.0	Georgetown University	DC	I	857	552	427.0	618.0	1080	710	546.0	785.0	192.0	157.0	154.0	25.0	528.0	http://dbpedia.org/resource/Georgetown_University	high	high	120.0
1428.0	Delaware State University	DE	IIA	545	435	359.0	379.0	716	583	491.0	515.0	29.0	47.0	61.0	34.0	183.0	http://dbpedia.org/resource/Delaware_State_University	medium	medium	123.0
1431.0	University of Delaware	DE	I	723	531	422.0	556.0	922	693	554.0	721.0	341.0	319.0	217.0	65.0	953.0	http://dbpedia.org/resource/University_of_Delaware	high	high	125.0
1433.0	Wesley College	DE	IIB	448	373	334.0	376.0	565	449	396.0	456.0	14.0	12.0	22.0	1.0	49.0	http://dbpedia.org/resource/Wesley_College_(Victoria)	medium	medium	126.0
1466.0	Barry University	FL	IIA	488	420	350.0	394.0	598	508	424.0	477.0	39.0	77.0	84.0	15.0	215.0	http://dbpedia.org/resource/Barry_University	medium	medium	127.0
1480.0	Florida A & M University	FL	IIA	524	426	359.0	424.0	661	543	460.0	540.0	103.0	123.0	111.0	27.0	364.0	http://dbpedia.org/resource/Florida_A&M_University	medium	medium	129.0
1487.0	Eckerd College	FL	IIB	534	424	357.0	436.0	676	547	472.0	563.0	32.0	18.0	37.0	0.0	87.0	http://dbpedia.org/resource/Eckerd_College	medium	medium	131.0
1488.0	Florida Southern College	FL	IIB	440	369	331.0	369.0	552	473	409.0	463.0	30.0	18.0	44.0	4.0	96.0	http://dbpedia.org/resource/Florida_Southern_College	medium	medium	132.0
1489.0	Florida State University	FL	I	564	399	378.0	473.0	729	525	494.0	616.0	510.0	316.0	192.0	16.0	1038.0	http://dbpedia.org/resource/Florida_State_University	medium	high	133.0
1515.0	Rollins College	FL	IIA	542	420	321.0	457.0	678	519	378.0	564.0	78.0	43.0	26.0	7.0	154.0	http://dbpedia.org/resource/Rollins_College	medium	medium	134.0
1531.0	Stetson University	FL	IIA	622	437	370.0	477.0	794	561	467.0	605.0	61.0	52.0	65.0	2.0	185.0	http://dbpedia.org/resource/Stetson_University	medium	high	135.0
1535.0	University of Florida	FL	I	613	430	399.0	501.0	790	567	527.0	653.0	981.0	721.0	510.0	49.0	2261.0	http://dbpedia.org/resource/University_of_Florida	high	high	136.0
1536.0	University of Miami	FL	I	693	510	408.0	513.0	895	654	514.0	659.0	291.0	200.0	147.0	20.0	769.0	http://dbpedia.org/resource/University_of_Miami	high	high	137.0
1537.0	University of South Florida	FL	I	571	418	369.0	455.0	735	547	483.0	591.0	387.0	319.0	239.0	45.0	1038.0	http://dbpedia.org/resource/University_of_South_Florida	medium	medium	138.0
1538.0	University of Tampa	FL	IIB	495	425	371.0	416.0	593	513	438.0	497.0	36.0	37.0	46.0	4.0	127.0	http://dbpedia.org/resource/University_of_Tampa	medium	medium	139.0
3955.0	University of West Florida	FL	IIA	489	391	350.0	390.0	636	505	458.0	507.0	59.0	65.0	75.0	22.0	221.0	http://dbpedia.org/resource/University_of_West_Florida	medium	medium	140.0
8849.0	Palm Beach Atlantic College	FL	IIB	413	369	333.0	348.0	491	451	390.0	412.0	11.0	14.0	28.0	13.0	66.0	http://dbpedia.org/resource/Palm_Beach_Atlantic_University	low	low	141.0
9841.0	University of North Florida	FL	IIB	498	405	343.0	408.0	663	544	462.0	547.0	73.0	81.0	57.0	19.0	230.0	http://dbpedia.org/resource/University_of_North_Florida	medium	medium	142.0
1542.0	Agnes Scott College	GA	IIB	527	421	356.0	426.0	651	528	441.0	528.0	19.0	24.0	19.0	4.0	66.0	http://dbpedia.org/resource/Agnes_Scott_College	medium	medium	143.0
1554.0	Berry College	GA	IIB	515	403	343.0	399.0	650	519	439.0	509.0	25.0	20.0	38.0	3.0	92.0	http://dbpedia.org/resource/Berry_College	medium	medium	146.0
1561.0	Columbus College	GA	IIA	456	375	333.0	396.0	588	491	437.0	515.0	75.0	50.0	51.0	2.0	178.0	http://dbpedia.org/resource/Columbus_College_of_Art_and_Design	medium	medium	147.0
1566.0	Fort Valley State College	GA	IIB	471	382	339.0	379.0	596	490	439.0	487.0	37.0	39.0	49.0	17.0	142.0	http://dbpedia.org/resource/Fort_Valley_State_University	medium	medium	149.0
1572.0	Georgia Southern University	GA	IIA	495	408	328.0	363.0	623	509	407.0	453.0	105.0	135.0	254.0	109.0	603.0	http://dbpedia.org/resource/Georgia_Southern_University	medium	medium	151.0
1574.0	Georgia State University	GA	I	666	474	390.0	502.0	817	594	493.0	624.0	258.0	254.0	241.0	40.0	793.0	http://dbpedia.org/resource/Georgia_State_University	high	high	152.0
1586.0	Oglethorpe University	GA	IIB	516	454	329.0	450.0	630	550	390.0	546.0	21.0	9.0	10.0	0.0	44.0	http://dbpedia.org/resource/Oglethorpe_University	medium	medium	153.0
1598.0	University of Georgia	GA	I	619	444	378.0	489.0	768	553	464.0	607.0	650.0	552.0	391.0	64.0	1658.0	http://dbpedia.org/resource/University_of_Georgia	medium	high	155.0
1599.0	Valdosta State University	GA	IIA	477	386	344.0	390.0	603	496	445.0	500.0	88.0	90.0	114.0	19.0	311.0	http://dbpedia.org/resource/Valdosta_State_University	medium	medium	156.0
1601.0	West Georgia College	GA	IIA	466	391	353.0	392.0	595	502	454.0	502.0	98.0	50.0	97.0	27.0	272.0	http://dbpedia.org/resource/University_of_West_Georgia	medium	medium	157.0
3484.0	Covenant College	GA	IIB	429	371	312.0	388.0	519	492	390.0	484.0	19.0	12.0	6.0	1.0	38.0	http://dbpedia.org/resource/Covenant_College	medium	medium	159.0
21078.0	University of Hawaii-West Oahu	HI	IIB	513	*	396.0	449.0	654	*	512.0	576.0	8.0	4.0	8.0	0.0	20.0	http://dbpedia.org/resource/University_of_Hawaii%E2%80%93West_Oahu	medium	medium	160.0
29020.0	University of Hawaii at Hilo	HI	IIB	576	461	414.0	467.0	731	591	534.0	598.0	43.0	47.0	37.0	14.0	141.0	http://dbpedia.org/resource/University_of_Hawaii_at_Hilo	medium	high	161.0
1846.0	Briar Cliff College	IA	IIB	367	324	286.0	313.0	473	412	359.0	398.0	16.0	13.0	28.0	3.0	60.0	http://dbpedia.org/resource/Briar_Cliff_University	low	low	162.0
1847.0	Buena Vista College	IA	IIB	484	416	339.0	382.0	606	522	440.0	486.0	20.0	12.0	30.0	10.0	72.0	http://dbpedia.org/resource/Buena_Vista_University	medium	medium	163.0
1850.0	Central University of Iowa	IA	IIB	464	413	334.0	395.0	572	507	405.0	483.0	23.0	36.0	22.0	8.0	89.0	http://dbpedia.org/resource/Central_College_(Iowa)	medium	medium	164.0
1854.0	Coe College	IA	IIB	516	421	340.0	436.0	671	541	459.0	570.0	30.0	21.0	22.0	0.0	73.0	http://dbpedia.org/resource/Coe_College	medium	medium	166.0
1860.0	Drake University	IA	IIA	601	458	409.0	481.0	762	578	496.0	600.0	101.0	61.0	107.0	16.0	285.0	http://dbpedia.org/resource/Drake_University	medium	high	169.0
1866.0	Graceland College	IA	IIB	411	331	301.0	345.0	490	401	366.0	418.0	26.0	11.0	29.0	1.0	70.0	http://dbpedia.org/resource/Graceland_University	low	low	170.0
1867.0	Grand View College	IA	IIB	385	320	295.0	329.0	481	405	377.0	416.0	22.0	31.0	20.0	2.0	75.0	http://dbpedia.org/resource/Grand_View_University	low	low	171.0
1868.0	Grinnell College	IA	IIB	642	517	405.0	513.0	809	641	496.0	638.0	46.0	36.0	52.0	3.0	139.0	http://dbpedia.org/resource/Grinnell_College	high	high	172.0
1869.0	Iowa State University	IA	I	684	506	404.0	534.0	842	635	514.0	666.0	467.0	353.0	284.0	84.0	1188.0	http://dbpedia.org/resource/Iowa_State_University	high	high	173.0
1873.0	Loras College	IA	IIB	419	363	314.0	363.0	531	438	378.0	445.0	37.0	35.0	31.0	6.0	109.0	http://dbpedia.org/resource/Loras_College	medium	medium	174.0
1879.0	Morningside College	IA	IIB	389	331	303.0	341.0	495	414	365.0	425.0	20.0	29.0	16.0	1.0	66.0	http://dbpedia.org/resource/Morningside_College	low	low	176.0
1880.0	Mount Mercy College	IA	IIB	379	356	334.0	337.0	465	427	396.0	405.0	7.0	20.0	28.0	8.0	63.0	http://dbpedia.org/resource/Mount_Mercy_College,_Cork	low	low	177.0
1881.0	Mount St. Clare College	IA	IIA	*	*	?	302.0	*	*	?	373.0	0.0	0.0	0.0	0.0	18.0	http://dbpedia.org/resource/Ashford_University	low	low	178.0
1887.0	Simpson College	IA	IIB	491	377	339.0	394.0	645	473	434.0	504.0	25.0	11.0	17.0	14.0	67.0	http://dbpedia.org/resource/Simpson_College	medium	medium	180.0
1892.0	University of Iowa	IA	I	706	509	432.0	579.0	872	643	549.0	723.0	486.0	308.0	260.0	10.0	1064.0	http://dbpedia.org/resource/University_of_Iowa	high	high	184.0
1893.0	Upper Iowa University	IA	IIB	*	*	287.0	303.0	*	*	348.0	366.0	4.0	5.0	6.0	12.0	27.0	http://dbpedia.org/resource/Upper_Iowa_University	low	low	185.0
1896.0	Wartburg College	IA	IIB	447	370	308.0	358.0	564	469	385.0	451.0	25.0	21.0	29.0	4.0	89.0	http://dbpedia.org/resource/Wartburg_College	medium	medium	186.0
1621.0	Lewis-Clark State College	ID	IIB	391	329	292.0	338.0	499	425	381.0	436.0	39.0	35.0	35.0	1.0	110.0	http://dbpedia.org/resource/Lewis%E2%80%93Clark_State_College	low	low	191.0
1626.0	University of Idaho	ID	I	514	408	373.0	438.0	640	514	472.0	550.0	217.0	165.0	155.0	9.0	546.0	http://dbpedia.org/resource/University_of_Idaho	medium	medium	193.0
