FICE	College_name	State	Type	Average_salary_full_professors	Average_salary_associate_professors	Average_salary_assistant_professors	Average_salary_all_ranks	Average_compensation_full_professor	Average_compensation_associate_professors	Average_compensation_assistant_professors	Average_compensation_all_ranks	Number_of_full_professors	Number_of_associate_professors	Number_of_assistant_professors	Number_of_instructors	Number_of_faculty_all_ranks	Dbpedia_URL	label_salary	label_comp	id
10311.0	Harding University	AR	IIB	424	374	335.0	380.0	512	461	401.0	460.0	80.0	46.0	41.0	8.0	179.0	http://dbpedia.org/resource/Harding_University_High_School	medium	medium	39.0
1138.0	California State University-Hayward	CA	IIA	606	491	384.0	552.0	762	629	503.0	699.0	258.0	69.0	49.0	7.0	383.0	http://dbpedia.org/resource/California_State_University,_East_Bay	high	high	48.0
1151.0	San Diego State University	CA	IIA	602	479	403.0	547.0	756	615	524.0	693.0	576.0	223.0	100.0	10.0	909.0	http://dbpedia.org/resource/San_Diego_State_University	high	high	54.0
1172.0	Pitzer College	CA	IIB	652	439	381.0	547.0	824	572	482.0	695.0	31.0	10.0	13.0	0.0	54.0	http://dbpedia.org/resource/Pitzer_College	high	high	60.0
1179.0	College of Notre Dame	CA	IIB	524	421	374.0	448.0	630	503	443.0	535.0	25.0	16.0	15.0	3.0	59.0	http://dbpedia.org/resource/Notre_Dame_of_Maryland_University	medium	medium	63.0
1216.0	University of La Verne	CA	IIA	482	392	326.0	401.0	602	478	396.0	494.0	41.0	28.0	41.0	0.0	110.0	http://dbpedia.org/resource/University_of_La_Verne	medium	medium	65.0
1258.0	Pacific Union College	CA	IIB	362	333	315.0	336.0	441	398	376.0	403.0	40.0	17.0	41.0	4.0	102.0	http://dbpedia.org/resource/Pacific_Union_College	low	low	68.0
1315.0	University of California-Los Angeles	CA	I	741	497	421.0	609.0	910	611	517.0	748.0	817.0	267.0	298.0	0.0	1499.0	http://dbpedia.org/resource/University_of_California,_Los_Angeles	high	high	76.0
1316.0	University of California-Riverside	CA	I	670	461	390.0	514.0	824	567	479.0	632.0	183.0	80.0	140.0	0.0	441.0	http://dbpedia.org/resource/University_of_California,_Riverside	high	high	77.0
1317.0	University of California-San Diego	CA	I	723	487	401.0	595.0	888	598	493.0	732.0	405.0	147.0	130.0	0.0	734.0	http://dbpedia.org/resource/University_of_California,_San_Diego	high	high	78.0
1341.0	Westmont College	CA	IIB	489	408	339.0	415.0	616	524	429.0	526.0	30.0	19.0	22.0	3.0	74.0	http://dbpedia.org/resource/Westmont_College	medium	medium	87.0
1342.0	Whittier College	CA	IIA	666	499	347.0	531.0	808	601	416.0	642.0	48.0	27.0	24.0	9.0	108.0	http://dbpedia.org/resource/Whittier_College	high	high	88.0
1343.0	Woodbury University	CA	IIA	*	373	365.0	381.0	*	472	454.0	478.0	5.0	11.0	6.0	0.0	22.0	http://dbpedia.org/resource/Woodbury_University	medium	medium	89.0
1349.0	University of Northern Colorado	CO	I	480	390	333.0	385.0	565	463	399.0	458.0	151.0	111.0	129.0	35.0	467.0	http://dbpedia.org/resource/University_of_Northern_Colorado	medium	medium	95.0
1416.0	University of Bridgeport	CT	IIA	505	437	360.0	434.0	644	551	463.0	553.0	32.0	29.0	26.0	1.0	90.0	http://dbpedia.org/resource/University_of_Bridgeport	medium	medium	112.0
1443.0	Gallaudet University	DC	IIA	623	480	399.0	482.0	814	638	534.0	637.0	86.0	67.0	70.0	35.0	261.0	http://dbpedia.org/resource/Gallaudet_University	medium	high	118.0
1448.0	Howard University	DC	I	656	483	403.0	481.0	780	591	494.0	587.0	241.0	282.0	189.0	111.0	891.0	http://dbpedia.org/resource/Howard_University	medium	medium	121.0
1460.0	Trinity College	DC	IIB	457	362	293.0	350.0	536	435	349.0	415.0	12.0	12.0	21.0	2.0	47.0	http://dbpedia.org/resource/Trinity_College_(Connecticut)	medium	low	122.0
1429.0	Goldey Beacom College	DE	IIB	492	405	?	417.0	613	511	?	528.0	8.0	14.0	3.0	1.0	26.0	http://dbpedia.org/resource/Goldey%E2%80%93Beacom_College	medium	medium	124.0
1468.0	St. Thomas University	FL	IIA	438	482	351.0	403.0	520	570	421.0	480.0	23.0	22.0	37.0	4.0	90.0	http://dbpedia.org/resource/St._Thomas_University_(Florida)	medium	medium	128.0
1481.0	Florida Atlantic University	FL	IIA	580	426	394.0	461.0	750	559	517.0	601.0	183.0	147.0	159.0	30.0	528.0	http://dbpedia.org/resource/Florida_Atlantic_University	medium	high	130.0
1544.0	Albany State College	GA	IIB	444	395	335.0	371.0	578	519	437.0	484.0	38.0	24.0	68.0	8.0	138.0	http://dbpedia.org/resource/Albany_State_University	medium	medium	144.0
1552.0	Augusta College	GA	IIA	503	409	336.0	383.0	645	520	431.0	489.0	40.0	43.0	79.0	21.0	183.0	http://dbpedia.org/resource/Augusta_State_University	medium	medium	145.0
1564.0	Emory University	GA	I	796	547	451.0	608.0	972	686	567.0	753.0	203.0	177.0	161.0	8.0	549.0	http://dbpedia.org/resource/Emory_University	high	high	148.0
1569.0	Georgia Institute of Technology	GA	I	684	517	462.0	558.0	862	665	594.0	711.0	235.0	206.0	167.0	17.0	626.0	http://dbpedia.org/resource/Georgia_Institute_of_Technology	high	high	150.0
1591.0	Shorter College	GA	IIB	370	308	294.0	317.0	439	368	355.0	379.0	16.0	17.0	17.0	5.0	55.0	http://dbpedia.org/resource/Shorter_University	low	low	154.0
1602.0	Georgia College	GA	IIA	447	388	340.0	373.0	571	496	440.0	479.0	47.0	41.0	80.0	11.0	179.0	http://dbpedia.org/resource/Georgia_College_&_State_University	medium	medium	158.0
1852.0	Clarke College	IA	IIB	436	361	312.0	338.0	512	445	379.0	407.0	11.0	10.0	25.0	8.0	54.0	http://dbpedia.org/resource/Clarke_University	low	low	165.0
1856.0	Cornell College	IA	IIB	578	426	368.0	468.0	693	534	463.0	574.0	31.0	22.0	17.0	5.0	75.0	http://dbpedia.org/resource/Cornell_College	medium	medium	167.0
1859.0	Dordt College	IA	IIB	411	356	308.0	355.0	548	470	406.0	472.0	30.0	14.0	16.0	12.0	72.0	http://dbpedia.org/resource/Dordt_College	medium	medium	168.0
1874.0	Luther College	IA	IIB	478	399	347.0	404.0	630	548	445.0	531.0	63.0	26.0	50.0	16.0	155.0	http://dbpedia.org/resource/Luther_College_(Iowa)	medium	medium	175.0
1883.0	Northwestern College	IA	IIB	430	372	311.0	344.0	531	477	394.0	434.0	9.0	16.0	27.0	6.0	58.0	http://dbpedia.org/resource/Northwestern_College_(Minnesota)	low	low	179.0
1889.0	St. Ambrose University	IA	IIB	431	374	325.0	362.0	541	471	401.0	450.0	29.0	15.0	44.0	8.0	98.0	http://dbpedia.org/resource/Saint_Ambrose_University	medium	medium	181.0
1890.0	University of Northern Iowa	IA	IIA	586	469	390.0	447.0	730	591	491.0	561.0	155.0	152.0	226.0	89.0	622.0	http://dbpedia.org/resource/University_of_Northern_Iowa	medium	medium	182.0
1891.0	University of Dubuque	IA	IIB	351	315	309.0	323.0	443	392	358.0	396.0	19.0	23.0	14.0	2.0	58.0	http://dbpedia.org/resource/University_of_Dubuque	low	low	183.0
1900.0	William Penn College	IA	IIB	351	312	269.0	294.0	420	386	335.0	363.0	8.0	11.0	19.0	7.0	45.0	http://dbpedia.org/resource/William_Penn_University	low	low	187.0
1616.0	Boise State University	ID	IIA	448	391	354.0	391.0	566	498	453.0	498.0	157.0	111.0	100.0	7.0	427.0	http://dbpedia.org/resource/Boise_State_University	medium	medium	188.0
1617.0	Albertson College of Idaho	ID	IIB	424	338	266.0	336.0	540	430	338.0	428.0	16.0	20.0	19.0	1.0	56.0	http://dbpedia.org/resource/College_of_Idaho	low	low	189.0
1620.0	Idaho State University	ID	IIA	466	382	337.0	368.0	588	487	433.0	471.0	128.0	99.0	113.0	120.0	460.0	http://dbpedia.org/resource/Idaho_State_University	medium	medium	190.0
1624.0	Northwest Nazarene College	ID	IIB	*	*	?	341.0	*	*	?	448.0	0.0	0.0	0.0	0.0	71.0	http://dbpedia.org/resource/Northwest_Nazarene_University	low	medium	192.0
1639.0	Blackburn University	IL	IIB	*	*	?	312.0	*	*	?	370.0	0.0	0.0	0.0	0.0	23.0	http://dbpedia.org/resource/Blackburn_College_(Illinois)	low	low	197.0
1684.0	Greenville College	IL	IIB	374	331	292.0	336.0	466	424	370.0	422.0	27.0	11.0	15.0	4.0	57.0	http://dbpedia.org/resource/Greenville_College	low	low	204.0
1691.0	Illinois Institute of Technology	IL	I	680	480	452.0	512.0	836	606	558.0	636.0	93.0	81.0	73.0	11.0	287.0	http://dbpedia.org/resource/Illinois_Institute_of_Technology	high	high	206.0
1700.0	Judson College	IL	IIB	400	358	305.0	358.0	486	445	366.0	438.0	10.0	12.0	6.0	1.0	29.0	http://dbpedia.org/resource/Judson_College_(Alabama)	medium	low	210.0
1706.0	Lake Forest College	IL	IIB	644	475	402.0	495.0	843	650	543.0	662.0	26.0	22.0	24.0	5.0	81.0	http://dbpedia.org/resource/Lake_Forest_College	medium	high	213.0
1722.0	McKendree College	IL	IIB	433	397	341.0	381.0	539	493	407.0	467.0	16.0	10.0	16.0	5.0	47.0	http://dbpedia.org/resource/McKendree_University	medium	medium	217.0
1724.0	Millikin University	IL	IIB	478	409	313.0	386.0	583	501	383.0	472.0	34.0	38.0	46.0	6.0	124.0	http://dbpedia.org/resource/Millikin_University	medium	medium	218.0
1739.0	Northwestern University	IL	I	860	596	496.0	712.0	1045	735	602.0	868.0	460.0	209.0	203.0	0.0	872.0	http://dbpedia.org/resource/Northwestern_University	high	high	224.0
1741.0	Olivet Nazarene University	IL	IIA	391	335	278.0	320.0	476	412	346.0	395.0	26.0	22.0	36.0	8.0	92.0	http://dbpedia.org/resource/Olivet_Nazarene_University	low	low	225.0
1749.0	Roosevelt University	IL	IIA	484	405	359.0	416.0	610	517	464.0	531.0	50.0	58.0	42.0	2.0	152.0	http://dbpedia.org/resource/Roosevelt_University	medium	medium	228.0
1750.0	Rosary College	IL	IIB	448	378	377.0	382.0	543	479	454.0	468.0	10.0	25.0	34.0	3.0	72.0	http://dbpedia.org/resource/Dominican_University_(Illinois)	medium	medium	229.0
1775.0	University of Illinois-Urbana	IL	I	682	493	421.0	570.0	783	574	494.0	659.0	927.0	520.0	393.0	1.0	1868.0	http://dbpedia.org/resource/University_of_Illinois_School_of_Architecture	high	high	234.0
1776.0	University of Illinois-Chicago	IL	I	656	476	411.0	513.0	755	555	483.0	596.0	401.0	369.0	296.0	20.0	1135.0	http://dbpedia.org/resource/University_of_Illinois_at_Chicago	high	high	235.0
1780.0	Western Illinois University	IL	IIA	506	427	350.0	421.0	587	500	414.0	493.0	241.0	171.0	123.0	62.0	606.0	http://dbpedia.org/resource/Western_Illinois_University	medium	medium	236.0
1781.0	Wheaton College	IL	IIA	510	437	368.0	452.0	640	569	461.0	574.0	67.0	54.0	32.0	3.0	156.0	http://dbpedia.org/resource/Wheaton_College_(Massachusetts)	medium	medium	237.0
9333.0	Sangamon State University	IL	IIA	499	437	370.0	433.0	594	516	447.0	516.0	50.0	62.0	46.0	5.0	163.0	http://dbpedia.org/resource/University_of_Illinois_at_Springfield	medium	medium	238.0
1792.0	DePauw University	IN	IIB	540	433	361.0	452.0	695	570	465.0	587.0	51.0	57.0	38.0	0.0	146.0	http://dbpedia.org/resource/DePauw_University	medium	medium	243.0
1793.0	Earlham College	IN	IIB	514	394	338.0	445.0	639	483	414.0	551.0	44.0	13.0	22.0	0.0	79.0	http://dbpedia.org/resource/Earlham_College	medium	medium	244.0
1801.0	Hanover College	IN	IIB	555	437	377.0	432.0	682	539	455.0	524.0	28.0	16.0	35.0	13.0	92.0	http://dbpedia.org/resource/Hanover_College	medium	medium	248.0
1804.0	University of Indianapolis	IN	IIA	487	408	358.0	382.0	620	515	433.0	469.0	16.0	38.0	52.0	19.0	125.0	http://dbpedia.org/resource/University_of_Indianapolis	medium	medium	250.0
1814.0	Indiana University at Kokomo	IN	IIB	519	432	380.0	397.0	665	548	482.0	504.0	13.0	21.0	29.0	0.0	81.0	http://dbpedia.org/resource/Indiana_University_Kokomo	medium	medium	253.0
1821.0	Marian College	IN	IIB	420	329	303.0	330.0	520	411	379.0	411.0	15.0	23.0	34.0	5.0	79.0	http://dbpedia.org/resource/Marian_College,_Christchurch	low	low	256.0
1824.0	Oakland City College	IN	IIB	*	282	252.0	269.0	*	340	314.0	328.0	3.0	11.0	10.0	4.0	28.0	http://dbpedia.org/resource/Oakland_City_University	low	low	258.0
1833.0	Saint Joseph's College	IN	IIB	373	374	312.0	344.0	486	478	400.0	443.0	13.0	12.0	19.0	1.0	45.0	http://dbpedia.org/resource/Saint_Joseph's_College_(Indiana)	low	low	262.0
1838.0	Taylor University	IN	IIB	404	352	300.0	355.0	555	486	382.0	480.0	36.0	31.0	25.0	3.0	95.0	http://dbpedia.org/resource/Taylor_University	medium	medium	265.0
1839.0	Tri-State University	IN	IIB	395	324	291.0	340.0	485	395	356.0	415.0	23.0	28.0	10.0	3.0	64.0	http://dbpedia.org/resource/Trine_University	low	low	266.0
1946.0	Tabor College	KS	IIB	304	*	222.0	257.0	385	*	282.0	326.0	8.0	5.0	8.0	3.0	24.0	http://dbpedia.org/resource/Tabor_College_(Kansas)	low	low	283.0
1949.0	Washburn University	KS	IIA	594	438	333.0	457.0	719	540	416.0	561.0	76.0	55.0	59.0	11.0	201.0	http://dbpedia.org/resource/Washburn_University	medium	medium	285.0
1955.0	Berea College	KY	IIB	552	428	355.0	436.0	675	518	421.0	525.0	32.0	43.0	31.0	6.0	112.0	http://dbpedia.org/resource/Berea_College	medium	medium	290.0
1959.0	Campbellsville College	KY	IIB	342	278	252.0	277.0	422	350	318.0	347.0	12.0	11.0	16.0	7.0	46.0	http://dbpedia.org/resource/Campbellsville_University	low	low	292.0
1960.0	Spalding University	KY	IIB	359	315	289.0	313.0	416	370	333.0	363.0	15.0	22.0	26.0	3.0	66.0	http://dbpedia.org/resource/Spalding_University	low	low	293.0
1972.0	Lindsey Wilson College	KY	IIB	*	359	278.0	294.0	*	427	331.0	349.0	2.0	7.0	11.0	18.0	38.0	http://dbpedia.org/resource/Lindsey_Wilson_College	low	low	300.0
1988.0	Union College	KY	IIB	314	287	255.0	277.0	383	353	304.0	335.0	11.0	20.0	8.0	9.0	48.0	http://dbpedia.org/resource/Union_College	low	low	305.0
1999.0	University of Louisville	KY	I	584	442	368.0	476.0	715	547	449.0	584.0	276.0	208.0	169.0	12.0	674.0	http://dbpedia.org/resource/University_of_Louisville	medium	medium	307.0
2007.0	Louisiana College	LA	IIB	375	324	308.0	338.0	484	427	401.0	440.0	25.0	13.0	18.0	4.0	60.0	http://dbpedia.org/resource/Louisiana_College	low	low	314.0
2016.0	Loyola University	LA	IIA	593	451	393.0	476.0	728	560	482.0	587.0	77.0	103.0	45.0	2.0	241.0	http://dbpedia.org/resource/Loyola_University_Chicago	medium	medium	317.0
2029.0	Tulane University	LA	I	713	514	418.0	564.0	876	646	514.0	699.0	172.0	166.0	115.0	3.0	456.0	http://dbpedia.org/resource/Tulane_University	high	high	320.0
2121.0	Babson College	MA	IIB	787	613	557.0	633.0	975	769	700.0	790.0	31.0	45.0	31.0	3.0	119.0	http://dbpedia.org/resource/Babson_College	high	high	326.0
2126.0	Berklee College of Music	MA	IIB	504	402	329.0	381.0	605	491	405.0	466.0	17.0	59.0	61.0	2.0	139.0	http://dbpedia.org/resource/Berklee_College_of_Music	medium	medium	328.0
2132.0	Bradford College	MA	IIB	447	352	310.0	346.0	557	450	384.0	435.0	9.0	18.0	8.0	6.0	41.0	http://dbpedia.org/resource/Bradford_College_(England)	low	low	330.0
2141.0	College of the Holy Cross	MA	IIB	695	506	406.0	519.0	875	627	500.0	644.0	44.0	84.0	54.0	4.0	186.0	http://dbpedia.org/resource/College_of_the_Holy_Cross	high	high	333.0
2153.0	Gordon College	MA	IIB	432	352	319.0	381.0	578	467	424.0	505.0	35.0	18.0	13.0	5.0	71.0	http://dbpedia.org/resource/Gordon_College_(Massachusetts)	medium	medium	335.0
2178.0	Massachusetts Institute of Technology	MA	I	903	637	528.0	757.0	1124	806	678.0	951.0	583.0	177.0	164.0	36.0	989.0	http://dbpedia.org/resource/Massachusetts_Institute_of_Technology	high	high	338.0
2183.0	Bridgewater State College	MA	IIA	517	440	400.0	468.0	672	583	542.0	617.0	144.0	53.0	41.0	17.0	255.0	http://dbpedia.org/resource/Bridgewater_State_University	medium	high	339.0
2189.0	Westfield State College	MA	IIA	523	419	378.0	457.0	662	530	478.0	578.0	79.0	46.0	44.0	0.0	169.0	http://dbpedia.org/resource/Westfield_State_University	medium	medium	342.0
2192.0	Mount Holyoke College	MA	IIB	694	505	400.0	541.0	866	645	496.0	678.0	73.0	47.0	51.0	3.0	191.0	http://dbpedia.org/resource/Mount_Holyoke_College	high	high	344.0
2199.0	Northeastern University	MA	I	688	525	460.0	543.0	880	689	599.0	705.0	236.0	260.0	176.0	0.0	730.0	http://dbpedia.org/resource/Northeastern_University	high	high	345.0
2206.0	Regis College	MA	IIB	504	425	345.0	407.0	627	542	426.0	513.0	9.0	20.0	14.0	1.0	46.0	http://dbpedia.org/resource/Regis_College	medium	medium	346.0
2217.0	Stonehill College	MA	IIB	513	428	354.0	423.0	657	541	458.0	539.0	24.0	56.0	36.0	0.0	116.0	http://dbpedia.org/resource/Stonehill_College	medium	medium	350.0
2226.0	Western New England College	MA	IIA	659	497	437.0	543.0	823	632	545.0	682.0	54.0	42.0	29.0	6.0	131.0	http://dbpedia.org/resource/Western_New_England_University	high	high	355.0
2233.0	Worcester Polytechnic Institute	MA	IIA	659	527	451.0	546.0	842	680	557.0	693.0	75.0	70.0	58.0	4.0	212.0	http://dbpedia.org/resource/Worcester_Polytechnic_Institute	high	high	359.0
2083.0	Morgan State University	MD	IIA	594	517	439.0	450.0	743	651	558.0	571.0	26.0	41.0	91.0	42.0	229.0	http://dbpedia.org/resource/Morgan_State_University	medium	medium	369.0
2102.0	University of Baltimore	MD	IIA	680	560	490.0	582.0	833	693	612.0	719.0	62.0	50.0	54.0	0.0	166.0	http://dbpedia.org/resource/University_of_Baltimore	high	high	374.0
2108.0	Washington College	MD	IIB	496	419	348.0	443.0	637	532	421.0	562.0	33.0	12.0	15.0	0.0	60.0	http://dbpedia.org/resource/Washington_College	medium	medium	376.0
2033.0	University of Maine at Presque Isl	ME	IIB	439	354	302.0	343.0	562	453	389.0	440.0	15.0	19.0	25.0	4.0	67.0	http://dbpedia.org/resource/University_of_Maine_at_Presque_Isle	low	low	378.0
2038.0	Bowdoin College	ME	IIB	738	527	418.0	554.0	918	651	503.0	682.0	41.0	40.0	35.0	4.0	123.0	http://dbpedia.org/resource/Bowdoin_College	high	high	380.0
2050.0	University of New England	ME	IIA	450	380	323.0	354.0	545	468	396.0	434.0	11.0	22.0	39.0	4.0	76.0	http://dbpedia.org/resource/University_of_New_England_(Australia)	medium	low	385.0
2053.0	University of Maine at Orono	ME	I	574	436	366.0	449.0	716	552	463.0	566.0	122.0	197.0	102.0	19.0	452.0	http://dbpedia.org/resource/University_of_Maine	medium	medium	388.0
2055.0	University of Maine at Machias	ME	IIB	465	355	284.0	360.0	582	459	366.0	462.0	7.0	24.0	8.0	0.0	39.0	http://dbpedia.org/resource/University_of_Maine_at_Machias	medium	medium	389.0
2234.0	Adrian College	MI	IIB	439	365	316.0	386.0	559	466	407.0	493.0	37.0	8.0	14.0	7.0	66.0	http://dbpedia.org/resource/Adrian_College	medium	medium	391.0
2241.0	Calvin College	MI	IIB	471	410	363.0	446.0	604	527	461.0	571.0	152.0	33.0	20.0	7.0	212.0	http://dbpedia.org/resource/Calvin_College	medium	medium	395.0
2243.0	Central Michigan University	MI	IIA	588	460	397.0	490.0	768	612	534.0	648.0	230.0	191.0	137.0	23.0	581.0	http://dbpedia.org/resource/Central_Michigan_University	medium	high	396.0
2260.0	Ferris State University	MI	IIA	546	470	409.0	467.0	713	631	566.0	628.0	143.0	160.0	151.0	10.0	477.0	http://dbpedia.org/resource/Ferris_State_University	medium	high	399.0
2273.0	Hope College	MI	IIB	515	420	350.0	443.0	681	559	455.0	585.0	70.0	49.0	38.0	2.0	159.0	http://dbpedia.org/resource/Hope_College	medium	medium	400.0
2308.0	Olivet College	MI	IIB	400	*	306.0	329.0	487	*	357.0	390.0	13.0	4.0	23.0	2.0	44.0	http://dbpedia.org/resource/Olivet_College	low	low	406.0
2330.0	Western Michigan University	MI	I	603	489	396.0	502.0	755	620	505.0	633.0	285.0	233.0	189.0	24.0	731.0	http://dbpedia.org/resource/Western_Michigan_University	high	high	411.0
2336.0	Bemidji State University	MN	IIA	490	403	341.0	419.0	629	520	443.0	539.0	91.0	40.0	50.0	11.0	192.0	http://dbpedia.org/resource/Bemidji_State_University	medium	medium	415.0
2342.0	College of St. Catherine	MN	IIB	428	369	326.0	356.0	515	448	385.0	427.0	27.0	53.0	54.0	9.0	143.0	http://dbpedia.org/resource/St._Catherine_University	medium	low	418.0
2346.0	Concordia College-Moorhead	MN	IIB	527	419	356.0	413.0	638	503	426.0	496.0	47.0	38.0	60.0	21.0	166.0	http://dbpedia.org/resource/Concordia_College_(Moorhead)	medium	medium	421.0
2358.0	Macalester College	MN	IIB	639	492	406.0	514.0	807	622	500.0	645.0	46.0	32.0	36.0	7.0	121.0	http://dbpedia.org/resource/Macalester_College	high	high	424.0
2371.0	Northwestern College	MN	IIB	373	339	313.0	333.0	510	454	406.0	441.0	13.0	16.0	27.0	1.0	57.0	http://dbpedia.org/resource/Northwestern_College_(Minnesota)	low	low	427.0
3969.0	University of Minnesota-Twin Cities	MN	I	662	468	418.0	557.0	842	613	552.0	719.0	785.0	468.0	271.0	12.0	1538.0	http://dbpedia.org/resource/University_of_Minnesota	high	high	435.0
2449.0	Avila College	MO	IIB	379	340	295.0	317.0	459	404	349.0	377.0	10.0	13.0	17.0	12.0	52.0	http://dbpedia.org/resource/Avila_College	low	low	437.0
2460.0	Culver-Stockton College	MO	IIB	396	348	297.0	332.0	463	406	347.0	388.0	9.0	20.0	22.0	1.0	52.0	http://dbpedia.org/resource/Culver%E2%80%93Stockton_College	low	low	440.0
2499.0	Rockhurst College	MO	IIB	448	380	350.0	369.0	548	460	422.0	448.0	15.0	31.0	33.0	9.0	88.0	http://dbpedia.org/resource/Rockhurst_University	medium	medium	448.0
2506.0	Saint Louis University	MO	I	657	475	402.0	500.0	783	575	484.0	600.0	133.0	111.0	120.0	31.0	395.0	http://dbpedia.org/resource/Saint_Louis_University	high	high	450.0
2517.0	University of Missouri-Rolla	MO	I	663	508	454.0	564.0	802	626	557.0	686.0	114.0	79.0	56.0	4.0	253.0	http://dbpedia.org/resource/Missouri_University_of_Science_and_Technology	high	high	453.0
2518.0	University of Missouri-Kansas City	MO	I	580	445	381.0	473.0	702	545	467.0	577.0	151.0	167.0	107.0	9.0	434.0	http://dbpedia.org/resource/University_of_Missouri%E2%80%93Kansas_City	medium	medium	454.0
2521.0	Webster University	MO	IIA	505	435	325.0	395.0	623	542	414.0	495.0	28.0	29.0	55.0	0.0	115.0	http://dbpedia.org/resource/Webster_University	medium	medium	457.0
2523.0	Westminster College	MO	IIB	451	390	298.0	381.0	549	481	361.0	465.0	17.0	17.0	12.0	4.0	50.0	http://dbpedia.org/resource/Westminster_College_(Pennsylvania)	medium	medium	458.0
2525.0	William Woods University	MO	IIB	370	303	290.0	312.0	476	374	350.0	390.0	13.0	13.0	13.0	5.0	45.0	http://dbpedia.org/resource/William_Woods_University	low	low	460.0
2403.0	Delta State University	MS	IIA	400	337	314.0	337.0	487	413	386.0	413.0	60.0	32.0	47.0	36.0	175.0	http://dbpedia.org/resource/Delta_State_University	low	low	464.0
2410.0	Jackson State University	MS	IIA	425	391	337.0	362.0	511	471	407.0	436.0	81.0	79.0	114.0	54.0	328.0	http://dbpedia.org/resource/Jackson_State_University	medium	low	465.0
2414.0	Millsaps College	MS	IIB	498	376	322.0	387.0	615	478	381.0	475.0	25.0	27.0	29.0	4.0	85.0	http://dbpedia.org/resource/Millsaps_College	medium	medium	466.0
2439.0	Tougaloo College	MS	IIB	300	267	244.0	262.0	370	327	289.0	318.0	17.0	22.0	18.0	9.0	66.0	http://dbpedia.org/resource/Tougaloo_College	low	low	469.0
2906.0	Appalachian State University	NC	IIA	491	413	366.0	424.0	598	505	448.0	518.0	249.0	117.0	113.0	19.0	545.0	http://dbpedia.org/resource/Appalachian_State_University	medium	medium	477.0
2910.0	Belmont Abbey College	NC	IIB	348	316	281.0	309.0	434	392	350.0	384.0	8.0	21.0	17.0	0.0	46.0	http://dbpedia.org/resource/Belmont_Abbey_College	low	low	480.0
2927.0	Elon College	NC	IIB	459	388	331.0	372.0	572	482	401.0	456.0	30.0	38.0	64.0	6.0	138.0	http://dbpedia.org/resource/Elon_University	medium	medium	486.0
2936.0	Johnson C. Smith University	NC	IIB	408	357	303.0	327.0	485	427	367.0	394.0	11.0	27.0	34.0	12.0	84.0	http://dbpedia.org/resource/Johnson_C._Smith_University	low	low	491.0
