FICE	College_name	State	Type	Average_salary_full_professors	Average_salary_associate_professors	Average_salary_assistant_professors	Average_salary_all_ranks	Average_compensation_full_professor	Average_compensation_associate_professors	Average_compensation_assistant_professors	Average_compensation_all_ranks	Number_of_full_professors	Number_of_associate_professors	Number_of_assistant_professors	Number_of_instructors	Number_of_faculty_all_ranks	Dbpedia_URL
1100	John Brown University	AR	IIB	372	338	304	341	478	414	375	426	23	22	10	3	58	http://dbpedia.org/resource/John_Brown_University
1101	University of Arkansas at Little Rock	AR	IIA	536	416	372	415	651	506	450	504	128	117	72	63	398	http://dbpedia.org/resource/University_of_Arkansas_at_Little_Rock
1102	Ouachita Baptist University	AR	IIB	422	355	289	342	529	445	375	435	36	14	28	19	97	http://dbpedia.org/resource/Ouachita_Baptist_University
1106	Williams Baptist College	AR	IIB	*	*	264	266	*	*	327	331	4	4	12	4	24	http://dbpedia.org/resource/Williams_Baptist_College
1107	Southern Arkansas University	AR	IIA	461	389	321	362	575	484	402	453	27	31	34	23	115	http://dbpedia.org/resource/Southern_Arkansas_University
1108	University of Arkansas-Fayetteville	AR	I	563	436	379	452	686	531	461	550	314	198	225	54	806	http://dbpedia.org/resource/University_of_Arkansas
10311	Harding University	AR	IIB	424	374	335	380	512	461	401	460	80	46	41	8	179	http://dbpedia.org/resource/Harding_University_High_School
1074	Grand Canyon University	AZ	IIB	358	328	274	299	439	395	332	363	20	18	24	12	74	http://dbpedia.org/resource/Grand_Canyon_University
1081	Arizona State University	AZ	I	603	449	399	489	723	549	489	593	576	445	251	7	1383	http://dbpedia.org/resource/Arizona_State_University
1082	Northern Arizona University	AZ	I	511	422	359	412	619	518	446	507	173	192	175	33	608	http://dbpedia.org/resource/Northern_Arizona_University
1083	University of Arizona	AZ	I	648	462	411	537	771	561	498	645	647	377	272	2	1349	http://dbpedia.org/resource/University_of_Arizona
1117	Azusa Pacific University	CA	IIA	430	375	318	368	573	494	428	488	43	62	32	12	156	http://dbpedia.org/resource/Azusa_Pacific_University
1122	Biola University	CA	IIA	455	369	303	370	582	462	371	464	32	57	31	6	126	http://dbpedia.org/resource/Biola_University
1131	California Institute of Technology	CA	I	970	733	576	866	1204	909	717	1075	173	40	44	0	257	http://dbpedia.org/resource/California_Institute_of_Technology
1137	California State University-Fullerton	CA	IIA	605	493	387	544	760	637	506	690	393	120	105	5	623	http://dbpedia.org/resource/California_State_University,_Fullerton
1138	California State University-Hayward	CA	IIA	606	491	384	552	762	629	503	699	258	69	49	7	383	http://dbpedia.org/resource/California_State_University,_East_Bay
1139	California State University-Long Beach	CA	IIA	600	474	401	542	751	610	521	685	491	171	112	6	780	http://dbpedia.org/resource/California_State_University,_Long_Beach
1141	California State University-Dominguez Hills	CA	IIA	605	472	392	548	759	606	593	705	178	52	37	1	268	http://dbpedia.org/resource/California_State_University,_Dominguez_Hills
1146	California State University-Chico	CA	IIA	604	482	395	558	758	631	518	707	413	86	73	2	574	http://dbpedia.org/resource/California_State_University,_Chico
1147	California State University-Fresno	CA	IIA	603	476	382	553	757	612	500	699	459	109	67	14	649	http://dbpedia.org/resource/California_State_University,_Fresno
1149	Humboldt State University	CA	IIA	593	468	387	543	746	603	507	688	213	38	50	0	301	http://dbpedia.org/resource/Humboldt_State_University
1151	San Diego State University	CA	IIA	602	479	403	547	756	615	524	693	576	223	100	10	909	http://dbpedia.org/resource/San_Diego_State_University
1155	San Jose State University	CA	IIA	598	486	404	528	750	623	526	669	431	222	158	8	819	http://dbpedia.org/resource/San_Jose_State_University
1156	Sonoma State University	CA	IIA	602	459	380	553	755	592	497	699	170	34	29	0	233	http://dbpedia.org/resource/Sonoma_State_University
1164	Chapman University	CA	IIA	578	470	420	491	763	627	573	656	38	37	36	0	111	http://dbpedia.org/resource/Chapman_University
1170	Claremont McKenna College	CA	IIB	716	516	411	601	892	661	510	751	36	16	12	2	67	http://dbpedia.org/resource/Claremont_McKenna_College
1171	Harvey Mudd College	CA	IIB	771	579	454	638	961	739	588	805	34	14	20	0	68	http://dbpedia.org/resource/Harvey_Mudd_College
1172	Pitzer College	CA	IIB	652	439	381	547	824	572	482	695	31	10	13	0	54	http://dbpedia.org/resource/Pitzer_College
1173	Pomona College	CA	IIB	730	525	417	566	909	658	530	708	60	52	40	7	161	http://dbpedia.org/resource/Pomona_College
1174	Scripps College	CA	IIB	611	458	372	511	776	588	495	658	28	10	15	1	54	http://dbpedia.org/resource/Scripps_College
1179	College of Notre Dame	CA	IIB	524	421	374	448	630	503	443	535	25	16	15	3	59	http://dbpedia.org/resource/Notre_Dame_of_Maryland_University
1183	Holy Names College	CA	IIB	484	394	275	368	542	443	311	413	10	22	18	1	51	http://dbpedia.org/resource/Holy_Names_University
1216	University of La Verne	CA	IIA	482	392	326	401	602	478	396	494	41	28	41	0	110	http://dbpedia.org/resource/University_of_La_Verne
1238	Mills College	CA	IIA	593	461	407	492	737	571	507	612	28	16	23	2	70	http://dbpedia.org/resource/Mills_College
1249	Occidental College	CA	IIB	624	469	388	490	806	593	482	621	49	42	33	15	139	http://dbpedia.org/resource/Occidental_College
1258	Pacific Union College	CA	IIB	362	333	315	336	441	398	376	403	40	17	41	4	102	http://dbpedia.org/resource/Pacific_Union_College
1262	Point Loma Nazarene College	CA	IIB	507	393	358	429	637	523	468	549	43	21	23	7	94	http://dbpedia.org/resource/Point_Loma_Nazarene_University
1264	Pepperdine University	CA	IIA	715	561	511	637	930	737	645	829	130	72	22	7	231	http://dbpedia.org/resource/Pepperdine_University
1302	Saint Mary's College of California	CA	IIA	614	494	404	500	754	616	497	618	38	55	42	0	135	http://dbpedia.org/resource/Saint_Mary's_College_of_California
1305	Stanford University	CA	I	952	658	519	824	1144	814	653	1000	533	139	145	0	834	http://dbpedia.org/resource/Stanford_University
1312	University of California-Berkeley	CA	I	764	513	433	650	939	631	533	799	834	229	209	0	1346	http://dbpedia.org/resource/University_of_California,_Berkeley
1313	University of California-Davis	CA	I	683	478	404	561	840	588	496	689	535	190	234	0	1072	http://dbpedia.org/resource/University_of_California,_Davis
1314	University of California-Irvine	CA	I	708	488	423	574	870	599	520	705	319	161	138	0	673	http://dbpedia.org/resource/University_of_California,_Irvine
1315	University of California-Los Angeles	CA	I	741	497	421	609	910	611	517	748	817	267	298	0	1499	http://dbpedia.org/resource/University_of_California,_Los_Angeles
1316	University of California-Riverside	CA	I	670	461	390	514	824	567	479	632	183	80	140	0	441	http://dbpedia.org/resource/University_of_California,_Riverside
1317	University of California-San Diego	CA	I	723	487	401	595	888	598	493	732	405	147	130	0	734	http://dbpedia.org/resource/University_of_California,_San_Diego
1319	University of California-San Francisco	CA	I	624	449	380	520	767	552	467	639	154	83	74	0	314	http://dbpedia.org/resource/University_of_California,_San_Francisco
1320	University of California-Santa Barbara	CA	I	712	473	401	578	875	581	493	711	371	125	145	0	694	http://dbpedia.org/resource/University_of_California,_Santa_Barbara
1321	University of California-Santa Cruz	CA	I	677	464	391	537	832	570	481	660	186	93	92	0	413	http://dbpedia.org/resource/University_of_California,_Santa_Cruz
1322	University of Redlands	CA	IIA	566	468	406	488	716	592	495	610	49	19	39	0	109	http://dbpedia.org/resource/University_of_Redlands
1325	University of San Francisco	CA	IIA	617	486	405	514	811	644	538	680	129	59	80	19	287	http://dbpedia.org/resource/University_of_San_Francisco
1326	Santa Clara University	CA	IIA	763	555	487	578	938	704	624	729	85	117	90	0	324	http://dbpedia.org/resource/Santa_Clara_University
1328	University of Southern California	CA	I	802	574	484	641	1016	751	636	825	485	354	286	27	1165	http://dbpedia.org/resource/University_of_Southern_California
1329	University of the Pacific	CA	IIA	542	420	372	459	666	528	468	570	172	92	100	10	377	http://dbpedia.org/resource/University_of_the_Pacific_(Peru)
1341	Westmont College	CA	IIB	489	408	339	415	616	524	429	526	30	19	22	3	74	http://dbpedia.org/resource/Westmont_College
1342	Whittier College	CA	IIA	666	499	347	531	808	601	416	642	48	27	24	9	108	http://dbpedia.org/resource/Whittier_College
1343	Woodbury University	CA	IIA	*	373	365	381	*	472	454	478	5	11	6	0	22	http://dbpedia.org/resource/Woodbury_University
7993	California State University-Bakersfield	CA	IIA	597	482	377	499	752	619	495	637	95	48	50	13	206	http://dbpedia.org/resource/California_State_University,_Bakersfield
10395	University of San Diego	CA	IIA	719	533	452	575	904	678	569	725	105	72	76	12	265	http://dbpedia.org/resource/University_of_San_Diego
11649	Loyola Marymount University	CA	IIA	722	558	414	589	911	724	543	754	130	90	83	3	310	http://dbpedia.org/resource/Loyola_Marymount_University
1345	Adams State College	CO	IIA	436	356	321	360	527	444	400	444	29	21	40	8	98	http://dbpedia.org/resource/Adams_State_College
1347	Colorado College	CO	IIB	613	488	398	525	776	621	509	665	63	38	26	1	134	http://dbpedia.org/resource/Colorado_College
1349	University of Northern Colorado	CO	I	480	390	333	385	565	463	399	458	151	111	129	35	467	http://dbpedia.org/resource/University_of_Northern_Colorado
1350	Colorado State University	CO	I	598	447	403	517	714	534	481	617	483	255	188	0	926	http://dbpedia.org/resource/Colorado_State_University
1353	Fort Lewis College	CO	IIB	439	385	342	392	516	452	402	460	73	35	52	5	165	http://dbpedia.org/resource/Fort_Lewis_College
1358	Mesa State College	CO	IIB	429	353	297	340	508	427	363	410	49	31	37	7	145	http://dbpedia.org/resource/Colorado_Mesa_University
1363	Regis University	CO	IIB	489	434	349	424	626	531	428	527	16	26	12	2	56	http://dbpedia.org/resource/Regis_University
1370	University of Colorado- Boulder	CO	I	652	494	421	528	797	615	519	649	457	301	227	93	1081	http://dbpedia.org/resource/University_of_Colorado_at_Boulder
1371	University of Denver	CO	I	623	479	430	509	756	588	525	620	142	106	101	6	378	http://dbpedia.org/resource/University_of_Denver
1372	Western State College of Colo.	CO	IIB	452	381	324	402	546	460	406	490	52	25	26	0	103	http://dbpedia.org/resource/Western_State_College_of_Colorado
6740	University of Colorado at Denver	CO	IIA	596	453	408	467	726	561	508	576	106	108	119	35	368	http://dbpedia.org/resource/University_of_Colorado_Denver
1374	Albertus Magnus College	CT	IIB	391	343	*	340	444	400	*	393	9	7	5	3	24	http://dbpedia.org/resource/Albertus_Magnus_College
1379	Connecticut College	CT	IIB	619	461	366	499	810	613	477	654	63	35	30	11	140	http://dbpedia.org/resource/Connecticut_College
1385	Fairfield University	CT	IIA	685	545	452	545	894	733	603	721	62	43	81	6	192	http://dbpedia.org/resource/Fairfield_University
1397	University of New Haven	CT	IIA	524	450	401	471	656	576	513	596	72	44	30	1	152	http://dbpedia.org/resource/University_of_New_Haven
1402	Quinnipiac College	CT	IIA	697	540	412	553	877	686	531	701	82	51	64	10	207	http://dbpedia.org/resource/Quinnipiac_University
1403	Sacred Heart University	CT	IIB	546	444	374	435	686	566	478	553	19	55	30	7	111	http://dbpedia.org/resource/Sacred_Heart_University
1409	Saint Joseph College	CT	IIA	548	451	360	430	654	544	432	517	8	34	22	1	65	http://dbpedia.org/resource/Saint_Joseph_College_(Connecticut)
1414	Trinity College	CT	IIB	706	501	394	550	901	650	494	704	57	49	32	0	146	http://dbpedia.org/resource/Trinity_College_(Connecticut)
1416	University of Bridgeport	CT	IIA	505	437	360	434	644	551	463	553	32	29	26	1	90	http://dbpedia.org/resource/University_of_Bridgeport
1422	University of Hartford	CT	IIA	529	445	380	439	660	566	492	558	76	131	111	3	329	http://dbpedia.org/resource/University_of_Hartford
1424	Wesleyan University	CT	IIA	734	504	423	597	936	641	539	761	128	57	66	0	254	http://dbpedia.org/resource/Wesleyan_University
1426	Yale University	CT	I	928	522	444	708	1127	643	548	863	404	118	191	6	767	http://dbpedia.org/resource/Yale_University
1434	American University	DC	I	746	520	417	555	897	641	505	673	165	119	125	37	446	http://dbpedia.org/resource/American_University
1437	Catholic University of America	DC	I	611	449	385	482	718	533	459	570	123	141	104	6	374	http://dbpedia.org/resource/The_Catholic_University_of_America
1443	Gallaudet University	DC	IIA	623	480	399	482	814	638	534	637	86	67	70	35	261	http://dbpedia.org/resource/Gallaudet_University
1444	George Washington University	DC	I	729	542	447	610	874	653	536	733	316	175	134	12	637	http://dbpedia.org/resource/George_Washington_University
1445	Georgetown University	DC	I	857	552	427	618	1080	710	546	785	192	157	154	25	528	http://dbpedia.org/resource/Georgetown_University
1448	Howard University	DC	I	656	483	403	481	780	591	494	587	241	282	189	111	891	http://dbpedia.org/resource/Howard_University
1460	Trinity College	DC	IIB	457	362	293	350	536	435	349	415	12	12	21	2	47	http://dbpedia.org/resource/Trinity_College_(Connecticut)
1428	Delaware State University	DE	IIA	545	435	359	379	716	583	491	515	29	47	61	34	183	http://dbpedia.org/resource/Delaware_State_University
1429	Goldey Beacom College	DE	IIB	492	405	*	417	613	511	*	528	8	14	3	1	26	http://dbpedia.org/resource/Goldey%E2%80%93Beacom_College
1431	University of Delaware	DE	I	723	531	422	556	922	693	554	721	341	319	217	65	953	http://dbpedia.org/resource/University_of_Delaware
1433	Wesley College	DE	IIB	448	373	334	376	565	449	396	456	14	12	22	1	49	http://dbpedia.org/resource/Wesley_College_(Victoria)
1466	Barry University	FL	IIA	488	420	350	394	598	508	424	477	39	77	84	15	215	http://dbpedia.org/resource/Barry_University
1468	St. Thomas University	FL	IIA	438	482	351	403	520	570	421	480	23	22	37	4	90	http://dbpedia.org/resource/St._Thomas_University_(Florida)
1480	Florida A & M University	FL	IIA	524	426	359	424	661	543	460	540	103	123	111	27	364	http://dbpedia.org/resource/Florida_A&M_University
1481	Florida Atlantic University	FL	IIA	580	426	394	461	750	559	517	601	183	147	159	30	528	http://dbpedia.org/resource/Florida_Atlantic_University
1487	Eckerd College	FL	IIB	534	424	357	436	676	547	472	563	32	18	37	0	87	http://dbpedia.org/resource/Eckerd_College
1488	Florida Southern College	FL	IIB	440	369	331	369	552	473	409	463	30	18	44	4	96	http://dbpedia.org/resource/Florida_Southern_College
1489	Florida State University	FL	I	564	399	378	473	729	525	494	616	510	316	192	16	1038	http://dbpedia.org/resource/Florida_State_University
1515	Rollins College	FL	IIA	542	420	321	457	678	519	378	564	78	43	26	7	154	http://dbpedia.org/resource/Rollins_College
1531	Stetson University	FL	IIA	622	437	370	477	794	561	467	605	61	52	65	2	185	http://dbpedia.org/resource/Stetson_University
1535	University of Florida	FL	I	613	430	399	501	790	567	527	653	981	721	510	49	2261	http://dbpedia.org/resource/University_of_Florida
1536	University of Miami	FL	I	693	510	408	513	895	654	514	659	291	200	147	20	769	http://dbpedia.org/resource/University_of_Miami
1537	University of South Florida	FL	I	571	418	369	455	735	547	483	591	387	319	239	45	1038	http://dbpedia.org/resource/University_of_South_Florida
1538	University of Tampa	FL	IIB	495	425	371	416	593	513	438	497	36	37	46	4	127	http://dbpedia.org/resource/University_of_Tampa
3955	University of West Florida	FL	IIA	489	391	350	390	636	505	458	507	59	65	75	22	221	http://dbpedia.org/resource/University_of_West_Florida
8849	Palm Beach Atlantic College	FL	IIB	413	369	333	348	491	451	390	412	11	14	28	13	66	http://dbpedia.org/resource/Palm_Beach_Atlantic_University
9841	University of North Florida	FL	IIB	498	405	343	408	663	544	462	547	73	81	57	19	230	http://dbpedia.org/resource/University_of_North_Florida
1542	Agnes Scott College	GA	IIB	527	421	356	426	651	528	441	528	19	24	19	4	66	http://dbpedia.org/resource/Agnes_Scott_College
1544	Albany State College	GA	IIB	444	395	335	371	578	519	437	484	38	24	68	8	138	http://dbpedia.org/resource/Albany_State_University
1552	Augusta College	GA	IIA	503	409	336	383	645	520	431	489	40	43	79	21	183	http://dbpedia.org/resource/Augusta_State_University
1554	Berry College	GA	IIB	515	403	343	399	650	519	439	509	25	20	38	3	92	http://dbpedia.org/resource/Berry_College
1561	Columbus College	GA	IIA	456	375	333	396	588	491	437	515	75	50	51	2	178	http://dbpedia.org/resource/Columbus_College_of_Art_and_Design
1564	Emory University	GA	I	796	547	451	608	972	686	567	753	203	177	161	8	549	http://dbpedia.org/resource/Emory_University
1566	Fort Valley State College	GA	IIB	471	382	339	379	596	490	439	487	37	39	49	17	142	http://dbpedia.org/resource/Fort_Valley_State_University
1569	Georgia Institute of Technology	GA	I	684	517	462	558	862	665	594	711	235	206	167	17	626	http://dbpedia.org/resource/Georgia_Institute_of_Technology
1572	Georgia Southern University	GA	IIA	495	408	328	363	623	509	407	453	105	135	254	109	603	http://dbpedia.org/resource/Georgia_Southern_University
1574	Georgia State University	GA	I	666	474	390	502	817	594	493	624	258	254	241	40	793	http://dbpedia.org/resource/Georgia_State_University
1586	Oglethorpe University	GA	IIB	516	454	329	450	630	550	390	546	21	9	10	0	44	http://dbpedia.org/resource/Oglethorpe_University
1591	Shorter College	GA	IIB	370	308	294	317	439	368	355	379	16	17	17	5	55	http://dbpedia.org/resource/Shorter_University
1598	University of Georgia	GA	I	619	444	378	489	768	553	464	607	650	552	391	64	1658	http://dbpedia.org/resource/University_of_Georgia
1599	Valdosta State University	GA	IIA	477	386	344	390	603	496	445	500	88	90	114	19	311	http://dbpedia.org/resource/Valdosta_State_University
1601	West Georgia College	GA	IIA	466	391	353	392	595	502	454	502	98	50	97	27	272	http://dbpedia.org/resource/University_of_West_Georgia
1602	Georgia College	GA	IIA	447	388	340	373	571	496	440	479	47	41	80	11	179	http://dbpedia.org/resource/Georgia_College_&_State_University
3484	Covenant College	GA	IIB	429	371	312	388	519	492	390	484	19	12	6	1	38	http://dbpedia.org/resource/Covenant_College
21078	University of Hawaii-West Oahu	HI	IIB	513	*	396	449	654	*	512	576	8	4	8	0	20	http://dbpedia.org/resource/University_of_Hawaii%E2%80%93West_Oahu
29020	University of Hawaii at Hilo	HI	IIB	576	461	414	467	731	591	534	598	43	47	37	14	141	http://dbpedia.org/resource/University_of_Hawaii_at_Hilo
1846	Briar Cliff College	IA	IIB	367	324	286	313	473	412	359	398	16	13	28	3	60	http://dbpedia.org/resource/Briar_Cliff_University
1847	Buena Vista College	IA	IIB	484	416	339	382	606	522	440	486	20	12	30	10	72	http://dbpedia.org/resource/Buena_Vista_University
1850	Central University of Iowa	IA	IIB	464	413	334	395	572	507	405	483	23	36	22	8	89	http://dbpedia.org/resource/Central_College_(Iowa)
1852	Clarke College	IA	IIB	436	361	312	338	512	445	379	407	11	10	25	8	54	http://dbpedia.org/resource/Clarke_University
1854	Coe College	IA	IIB	516	421	340	436	671	541	459	570	30	21	22	0	73	http://dbpedia.org/resource/Coe_College
1856	Cornell College	IA	IIB	578	426	368	468	693	534	463	574	31	22	17	5	75	http://dbpedia.org/resource/Cornell_College
1859	Dordt College	IA	IIB	411	356	308	355	548	470	406	472	30	14	16	12	72	http://dbpedia.org/resource/Dordt_College
1860	Drake University	IA	IIA	601	458	409	481	762	578	496	600	101	61	107	16	285	http://dbpedia.org/resource/Drake_University
1866	Graceland College	IA	IIB	411	331	301	345	490	401	366	418	26	11	29	1	70	http://dbpedia.org/resource/Graceland_University
1867	Grand View College	IA	IIB	385	320	295	329	481	405	377	416	22	31	20	2	75	http://dbpedia.org/resource/Grand_View_University
1868	Grinnell College	IA	IIB	642	517	405	513	809	641	496	638	46	36	52	3	139	http://dbpedia.org/resource/Grinnell_College
1869	Iowa State University	IA	I	684	506	404	534	842	635	514	666	467	353	284	84	1188	http://dbpedia.org/resource/Iowa_State_University
1873	Loras College	IA	IIB	419	363	314	363	531	438	378	445	37	35	31	6	109	http://dbpedia.org/resource/Loras_College
1874	Luther College	IA	IIB	478	399	347	404	630	548	445	531	63	26	50	16	155	http://dbpedia.org/resource/Luther_College_(Iowa)
1879	Morningside College	IA	IIB	389	331	303	341	495	414	365	425	20	29	16	1	66	http://dbpedia.org/resource/Morningside_College
1880	Mount Mercy College	IA	IIB	379	356	334	337	465	427	396	405	7	20	28	8	63	http://dbpedia.org/resource/Mount_Mercy_College,_Cork
1881	Mount St. Clare College	IA	IIA	*	*	*	302	*	*	*	373	0	0	0	0	18	http://dbpedia.org/resource/Ashford_University
1883	Northwestern College	IA	IIB	430	372	311	344	531	477	394	434	9	16	27	6	58	http://dbpedia.org/resource/Northwestern_College_(Minnesota)
1887	Simpson College	IA	IIB	491	377	339	394	645	473	434	504	25	11	17	14	67	http://dbpedia.org/resource/Simpson_College
1889	St. Ambrose University	IA	IIB	431	374	325	362	541	471	401	450	29	15	44	8	98	http://dbpedia.org/resource/Saint_Ambrose_University
1890	University of Northern Iowa	IA	IIA	586	469	390	447	730	591	491	561	155	152	226	89	622	http://dbpedia.org/resource/University_of_Northern_Iowa
1891	University of Dubuque	IA	IIB	351	315	309	323	443	392	358	396	19	23	14	2	58	http://dbpedia.org/resource/University_of_Dubuque
1892	University of Iowa	IA	I	706	509	432	579	872	643	549	723	486	308	260	10	1064	http://dbpedia.org/resource/University_of_Iowa
1893	Upper Iowa University	IA	IIB	*	*	287	303	*	*	348	366	4	5	6	12	27	http://dbpedia.org/resource/Upper_Iowa_University
1896	Wartburg College	IA	IIB	447	370	308	358	564	469	385	451	25	21	29	4	89	http://dbpedia.org/resource/Wartburg_College
1900	William Penn College	IA	IIB	351	312	269	294	420	386	335	363	8	11	19	7	45	http://dbpedia.org/resource/William_Penn_University
1616	Boise State University	ID	IIA	448	391	354	391	566	498	453	498	157	111	100	7	427	http://dbpedia.org/resource/Boise_State_University
1617	Albertson College of Idaho	ID	IIB	424	338	266	336	540	430	338	428	16	20	19	1	56	http://dbpedia.org/resource/College_of_Idaho
1620	Idaho State University	ID	IIA	466	382	337	368	588	487	433	471	128	99	113	120	460	http://dbpedia.org/resource/Idaho_State_University
1621	Lewis-Clark State College	ID	IIB	391	329	292	338	499	425	381	436	39	35	35	1	110	http://dbpedia.org/resource/Lewis%E2%80%93Clark_State_College
1624	Northwest Nazarene College	ID	IIB	*	*	*	341	*	*	*	448	0	0	0	0	71	http://dbpedia.org/resource/Northwest_Nazarene_University
1626	University of Idaho	ID	I	514	408	373	438	640	514	472	550	217	165	155	9	546	http://dbpedia.org/resource/University_of_Idaho
1633	Augustana College	IL	IIB	527	425	362	418	648	523	449	517	41	28	50	18	137	http://dbpedia.org/resource/Augustana_College_(Illinois)
1634	Aurora University	IL	IIB	434	379	339	372	528	461	402	447	18	16	19	16	69	http://dbpedia.org/resource/Aurora_University
1635	Barat College	IL	IIB	507	405	333	402	599	473	394	474	9	9	14	0	32	http://dbpedia.org/resource/Barat_College
1639	Blackburn University	IL	IIB	*	*	*	312	*	*	*	370	0	0	0	0	23	http://dbpedia.org/resource/Blackburn_College_(Illinois)
1641	Bradley University	IL	IIA	570	464	378	442	679	562	449	529	75	88	100	30	295	http://dbpedia.org/resource/Bradley_University
1665	Columbia College	IL	IIB	*	*	*	349	*	*	*	446	0	0	0	0	171	http://dbpedia.org/resource/Columbia_College_Chicago
1666	Concordia University	IL	IIB	399	351	295	351	487	435	374	435	30	23	24	1	78	http://dbpedia.org/resource/Concordia_University
1671	DePaul University	IL	IIA	702	543	427	524	857	681	527	648	120	173	152	55	500	http://dbpedia.org/resource/DePaul_University
1674	Eastern Illinois University	IL	IIA	442	373	333	364	515	438	393	428	190	161	120	87	560	http://dbpedia.org/resource/Eastern_Illinois_University
