DBpediaProp,DBpediaPropLabel,WikidataProp,WikidataPropLabel
http://dbpedia.org/ontology/discipline,discipline,http://www.wikidata.org/entity/P101,field of work
http://dbpedia.org/ontology/discovered,discovery date,http://www.wikidata.org/entity/P575,time of discovery
http://dbpedia.org/ontology/discoverer,discoverer,http://www.wikidata.org/entity/P61,discoverer or inventor
http://dbpedia.org/ontology/diseasesDb,diseasesDb,http://www.wikidata.org/entity/P557,DiseasesDB
http://dbpedia.org/ontology/distributor,distributor,http://www.wikidata.org/entity/P750,distributor
http://dbpedia.org/ontology/district,district,http://www.wikidata.org/entity/P131,located in the administrative territorial entity
http://dbpedia.org/ontology/doctoralAdvisor,doctoral advisor,http://www.wikidata.org/entity/P184,doctoral advisor
http://dbpedia.org/ontology/doctoralStudent,doctoral student,http://www.wikidata.org/entity/P185,doctoral student
http://dbpedia.org/ontology/ecNumber,EC number,http://www.wikidata.org/entity/P591,EC number
http://dbpedia.org/ontology/editing,editing,http://www.wikidata.org/entity/P1040,film editor
http://dbpedia.org/ontology/editor,editor,http://www.wikidata.org/entity/P98,editor
http://dbpedia.org/ontology/education,education,http://www.wikidata.org/entity/P69,educated at
http://dbpedia.org/ontology/einecsNumber,EINECS number,http://www.wikidata.org/entity/P232,EINECS number
http://dbpedia.org/ontology/elo,ELO rating,http://www.wikidata.org/entity/P1087,Elo rating
http://dbpedia.org/ontology/emblem,emblem,http://www.wikidata.org/entity/P158,seal image
http://dbpedia.org/ontology/employer,employer,http://www.wikidata.org/entity/P108,employer
http://dbpedia.org/ontology/endDate,end date,http://www.wikidata.org/entity/P582,end time
http://dbpedia.org/ontology/ethnicity,ethnicity,http://www.wikidata.org/entity/P172,ethnic group
http://dbpedia.org/ontology/eyeColor,eye color,http://www.wikidata.org/entity/P1340,eye color
http://dbpedia.org/ontology/father,father,http://www.wikidata.org/entity/P22,father
http://dbpedia.org/ontology/flag,flag (image),http://www.wikidata.org/entity/P41,flag image
http://dbpedia.org/ontology/followedBy,followed by,http://www.wikidata.org/entity/P156,followed by
http://dbpedia.org/ontology/follows,follows,http://www.wikidata.org/entity/P155,follows
http://dbpedia.org/ontology/formationDate,formation date,http://www.wikidata.org/entity/P571,inception
http://dbpedia.org/ontology/foundedBy,founded by,http://www.wikidata.org/entity/P112,founder
http://dbpedia.org/ontology/founder,founder,http://www.wikidata.org/entity/P112,founder
http://dbpedia.org/ontology/foundingDate,founding date,http://www.wikidata.org/entity/P571,inception
http://dbpedia.org/ontology/fuelSystem,fuel system,http://www.wikidata.org/entity/P1211,fuel system
http://dbpedia.org/ontology/gameEngine,Game Engine,http://www.wikidata.org/entity/P408,software engine
http://dbpedia.org/ontology/generalManager,general manager,http://www.wikidata.org/entity/P505,general manager
http://dbpedia.org/ontology/genre,genre,http://www.wikidata.org/entity/P136,genre
http://dbpedia.org/ontology/giniCoefficient,gini coefficient,http://www.wikidata.org/entity/P1125,gini coefficient
http://dbpedia.org/ontology/handedness,handedness,http://www.wikidata.org/entity/P552,handedness
http://dbpedia.org/ontology/headquarter,headquarter,http://www.wikidata.org/entity/P159,headquarters location
http://dbpedia.org/ontology/highestPoint,highest point,http://www.wikidata.org/entity/P610,highest point
http://dbpedia.org/ontology/highwaySystem,highway system,http://www.wikidata.org/entity/P16,highway system
http://dbpedia.org/ontology/homeport,homeport,http://www.wikidata.org/entity/P504,home port
http://dbpedia.org/ontology/iataAirlineCode,IATA code,http://www.wikidata.org/entity/P229,IATA airline designator
http://dbpedia.org/ontology/iataLocationIdentifier,IATA Location Identifier,http://www.wikidata.org/entity/P238,IATA airport code
http://dbpedia.org/ontology/icaoAirlineCode,ICAO code,http://www.wikidata.org/entity/P230,ICAO airline designator
http://dbpedia.org/ontology/icaoLocationIdentifier,ICAO Location Identifier,http://www.wikidata.org/entity/P239,ICAO airport code
http://dbpedia.org/ontology/icd10,ICD10,http://www.wikidata.org/entity/P494,ICD-10
http://dbpedia.org/ontology/icd9,ICD9,http://www.wikidata.org/entity/P493,ICD-9
http://dbpedia.org/ontology/ideology,ideology,http://www.wikidata.org/entity/P1142,political ideology
http://dbpedia.org/ontology/illustrator,illustrator,http://www.wikidata.org/entity/P110,illustrator
http://dbpedia.org/ontology/imdbId,IMDB id,http://www.wikidata.org/entity/P345,IMDb identifier
http://dbpedia.org/ontology/individualisedGnd,individualised GND number,http://www.wikidata.org/entity/P227,GND identifier
http://dbpedia.org/ontology/industry,industry,http://www.wikidata.org/entity/P452,industry
http://dbpedia.org/ontology/inflow,inflow,http://www.wikidata.org/entity/P200,lake inflows
http://dbpedia.org/ontology/inseeCode,INSEE code,http://www.wikidata.org/entity/P374,INSEE municipality code
http://dbpedia.org/ontology/instrument,instrument,http://www.wikidata.org/entity/P1303,instrument
http://dbpedia.org/ontology/isPartOf,is part of,http://www.wikidata.org/entity/P361,part of
http://dbpedia.org/ontology/isbn,ISBN,http://www.wikidata.org/entity/P212,ISBN-13
http://dbpedia.org/ontology/isbn,ISBN,http://www.wikidata.org/entity/P957,ISBN-10
http://dbpedia.org/ontology/isil,International Standard Identifier for Libraries and Related Organizations (ISIL),http://www.wikidata.org/entity/P791,ISIL ID
http://dbpedia.org/ontology/isniId,ISNI Id,http://www.wikidata.org/entity/P213,ISNI
http://dbpedia.org/ontology/iso31661Code,ISO 3166-1 code,http://www.wikidata.org/entity/P297,ISO 3166-1 alpha-2 code
http://dbpedia.org/ontology/iso31661Code,ISO 3166-1 code,http://www.wikidata.org/entity/P298,ISO 3166-1 alpha-3 code
http://dbpedia.org/ontology/iso31661Code,ISO 3166-1 code,http://www.wikidata.org/entity/P299,ISO 3166-1 numeric code
http://dbpedia.org/ontology/iso6391Code,ISO 639-1 code,http://www.wikidata.org/entity/P218,ISO 639-1 code
http://dbpedia.org/ontology/iso6392Code,ISO 639-2 code,http://www.wikidata.org/entity/P219,ISO 639-2 code
http://dbpedia.org/ontology/iso6393Code,ISO 639-3 code,http://www.wikidata.org/entity/P220,ISO 639-3 code
http://dbpedia.org/ontology/istat,code istat,http://www.wikidata.org/entity/P635,ISTAT ID
http://dbpedia.org/ontology/killedBy,killed by,http://www.wikidata.org/entity/P157,killed by
http://dbpedia.org/ontology/landingDate,landing date,http://www.wikidata.org/entity/P620,time of spacecraft landing
http://dbpedia.org/ontology/launchDate,launch date,http://www.wikidata.org/entity/P619,time of spacecraft launch
http://dbpedia.org/ontology/launchSite,launch site,http://www.wikidata.org/entity/P448,location of spacecraft launch
http://dbpedia.org/ontology/launchVehicle,launch vehicle,http://www.wikidata.org/entity/P375,space launch vehicle
http://dbpedia.org/ontology/lccnId,LCCN Id,http://www.wikidata.org/entity/P244,LCAuth identifier
http://dbpedia.org/ontology/league,league,http://www.wikidata.org/entity/P118,league
http://dbpedia.org/ontology/license,license,http://www.wikidata.org/entity/P275,license
http://dbpedia.org/ontology/locatedInArea,located in area,http://www.wikidata.org/entity/P131,located in the administrative territorial entity
http://dbpedia.org/ontology/maintainedBy,maintained by,http://www.wikidata.org/entity/P126,maintained by
http://dbpedia.org/ontology/manager,manager,http://www.wikidata.org/entity/P286,head coach
http://dbpedia.org/ontology/manufacturer,manufacturer,http://www.wikidata.org/entity/P176,manufacturer
http://dbpedia.org/ontology/meshId,MeSH ID,http://www.wikidata.org/entity/P486,MeSH ID
http://dbpedia.org/ontology/mother,mother,http://www.wikidata.org/entity/P25,mother
http://dbpedia.org/ontology/movement,movement,http://www.wikidata.org/entity/P135,movement
http://dbpedia.org/ontology/musicBy,music by,http://www.wikidata.org/entity/P86,composer
http://dbpedia.org/ontology/musicalArtist,musical artist,http://www.wikidata.org/entity/P175,performer
http://dbpedia.org/ontology/namedAfter,named after,http://www.wikidata.org/entity/P138,named after
http://dbpedia.org/ontology/ndlId,NDL id,http://www.wikidata.org/entity/P349,NDL identifier
http://dbpedia.org/ontology/nisCode,NIS code,http://www.wikidata.org/entity/P1567,NIS/INS code
http://dbpedia.org/ontology/nlaId,NLA Id,http://www.wikidata.org/entity/P409,NLA (Australia) identifier
http://dbpedia.org/ontology/nutsCode,NUTS code,http://www.wikidata.org/entity/P605,NUTS code
http://dbpedia.org/ontology/occupation,occupation,http://www.wikidata.org/entity/P106,occupation
http://dbpedia.org/ontology/ofsCode,ofs code of a settlement,http://www.wikidata.org/entity/P771,Swiss municipality code
http://dbpedia.org/ontology/okatoCode,okato code,http://www.wikidata.org/entity/P721,OKATO identifier
http://dbpedia.org/ontology/orcidId,ORCID Id,http://www.wikidata.org/entity/P496,ORCID
http://dbpedia.org/ontology/orientation,orientation,http://www.wikidata.org/entity/P91,sexual orientation
http://dbpedia.org/ontology/originalLanguage,original language,http://www.wikidata.org/entity/P364,original language of work
http://dbpedia.org/ontology/owner,owner,http://www.wikidata.org/entity/P127,owned by
http://dbpedia.org/ontology/party,party,http://www.wikidata.org/entity/P102,member of political party
http://dbpedia.org/ontology/pdb,PDB ID,http://www.wikidata.org/entity/P638,PDB ID
http://dbpedia.org/ontology/placeOfBurial,place of burial,http://www.wikidata.org/entity/P119,place of burial
http://dbpedia.org/ontology/populationTotal,population total,http://www.wikidata.org/entity/P1082,population
http://dbpedia.org/ontology/primeMinister,prime minister,http://www.wikidata.org/entity/P6,head of government
http://dbpedia.org/ontology/province,province,http://www.wikidata.org/entity/P131,located in the administrative territorial entity
http://dbpedia.org/ontology/recordLabel,record label,http://www.wikidata.org/entity/P264,record label
http://dbpedia.org/ontology/releaseDate,release date,http://www.wikidata.org/entity/P577,publication date
http://dbpedia.org/ontology/religion,religion,http://www.wikidata.org/entity/P140,religion
http://dbpedia.org/ontology/residence,residence,http://www.wikidata.org/entity/P263,official residence
http://dbpedia.org/ontology/rkdArtistsId,RKDartists id,http://www.wikidata.org/entity/P650,RKDartists
http://dbpedia.org/ontology/selibrId,SELIBR Id,http://www.wikidata.org/entity/P906,SELIBR
http://dbpedia.org/ontology/settlement,settlement,http://www.wikidata.org/entity/P131,located in the administrative territorial entity
http://dbpedia.org/ontology/sex,sex,http://www.wikidata.org/entity/P21,sex or gender
http://dbpedia.org/ontology/signature,signature,http://www.wikidata.org/entity/P109,signature
http://dbpedia.org/ontology/spouse,spouse,http://www.wikidata.org/entity/P26,spouse
http://dbpedia.org/ontology/starring,starring,http://www.wikidata.org/entity/P161,cast member
http://dbpedia.org/ontology/startDate,start date,http://www.wikidata.org/entity/P580,start time
http://dbpedia.org/ontology/sudocId,SUDOC id,http://www.wikidata.org/entity/P269,SUDOC authorities
http://dbpedia.org/ontology/taoiseach,taoiseach,http://www.wikidata.org/entity/P6,head of government
http://dbpedia.org/ontology/team,team,http://www.wikidata.org/entity/P54,member of sports team
http://dbpedia.org/ontology/terytCode,TERYT code,http://www.wikidata.org/entity/P1653,TERYT municipality code
http://dbpedia.org/ontology/ulanId,ULAN id,http://www.wikidata.org/entity/P245,ULAN identifier
http://dbpedia.org/ontology/unloCode,UN/LOCODE,http://www.wikidata.org/entity/P1937,UN/LOCODE
http://dbpedia.org/ontology/viafId,VIAF Id,http://www.wikidata.org/entity/P214,VIAF identifier
